È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
ÁÖ½ÄÈ¸»ç ¼ºÃµ,¹ýÀÎ,±âÅ¸ ½ÄÇ° Ã·°¡¹° Á¦Á¶¾÷,½ÄÇ°Ã·°¡¹°(½ÄÇ°Çâ·á),031-457-2292,031-477-1334,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 692-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î27¹ø±æ 28-11 (±ÝÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¼¼½Ç±â¿¬,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,Á¤¹Ð»çÃâ±ÝÇüÁ¦ÀÛ,031-455-0679,031-455-0676,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-11¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 30, 1Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼¼¿µ·¹Æ¼½Ã¾Æ,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,¹ö½ºÁ¤º¸¾È³»´Ü¸»±â,031-398-5734,,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1026-52 L&CÅ¸¿ö ÁöÃþ102È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 153-18, ÁöÃþ102È£(»êº»µ¿, L&CÅ¸¿ö)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼¼¿ø±Û·Î¹ú,¹ýÀÎ,¾È°æ ¹× ¾È°æ·»Áî Á¦Á¶¾÷,½Ã·Âº¸Á¤¿ë ¾È°æ,031-427-0795,031-427-2411,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 174-4 302È£ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 27, 302È£ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼¼¿ø¾¾¿£Æ¼,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,"ÀÚµ¿Á¦¾î¹Ý, PLCÁ¦¾î¹Ý, ÀÎ¹öÅÍÁ¦¾î¹Ý, TM/TCÁ¦¾î¹Ý, RCSÁ¦¾î¹Ý",031-689-4350,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 14Ãþ 1401È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 14Ãþ 1401È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼¼ÅØ,¹ýÀÎ,¿À¶ô ¹× ½ºÆ÷Ã÷¿ë º¸Æ® °ÇÁ¶¾÷ ¿Ü 7 Á¾,"¿ÀÅ¹¹æÁö¸·, ¿ÀÀÏÆæ½º, ¿¡¾îÅÙÆ®",031-426-9205,031-426-9207,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 321-2,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î75¹ø±æ 7 (´çÁ¤µ¿) 1Ãþ,2025-09-15
ÁÖ½ÄÈ¸»ç ¼ö¼Ò¿¡³ÊÁ¨ ,¹ýÀÎ,"Áõ·ù±â, ¿­±³È¯±â ¹× °¡½º¹ß»ý±â Á¦Á¶¾÷ ¿Ü 7 Á¾",HM-SERIES,031-451-6431,031-451-6435,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-35 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 39, 1Ãþ(´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼ö¾Ø¼ö,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷",ºñÁ¢ÃË ¿Âµµ°è,031-341-3171,031-341-3172,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 500-2 2Ãþ(³ª¿°µ¿),"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 67, 2Ãþ(³ª¿°µ¿) (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¼ö¿î,¹ýÀÎ,ÄÄÇ»ÅÍ Á¦Á¶¾÷ ¿Ü 6 Á¾,"ÅÇ,¹ëºê ¹× À¯»çÀåÄ¡ , ÄÄÇ»ÅÍ, ±¤°í¿ëÁ¶¸íÀåÄ¡, À½Çâ±â±â, ÀüÀÚÄ¥ÆÇ, ¹æ¼ÛÀåºñ, ¹æ¼ÛÀåºñ",02-6956-5870,02-6956-5877,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 213-4 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î60¹ø±æ 14, 3Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ½ºÄù¾î¹Ú½º,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"Åë½Å°ü·Ã Á¦Ç° Á¶¸³»ý»ê(¸ðµ©ÄÉÀÌ½º,DCUÇÔÃ¼,CTÇÁ·Îºê,´ÏÇÃ,µ¿´ÜÀÚ)",031-427-7603,031-427-7604,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 7Ãþ 701, 705-1È£","°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 7Ãþ 701, 705-1È£ (´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
ÁÖ½ÄÈ¸»ç ½ºÅ²¼Ö·ç¼Ç,¹ýÀÎ,ÀÇ·á¿ëÇ° ¹× ±âÅ¸ ÀÇ¾à °ü·ÃÁ¦Ç° Á¦Á¶¾÷,"ÇÏÀÌµå·ÎÄÝ·ÎÀÌµå ÆÐÄ¡ & ¹êµå, ÇÏÀÌµå·Î°Ö ÆÐÄ¡ ",070-4278-3811,070-4278-3812,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1 ¾ÆÀÌ¹ë¸® ±ºÆ÷ 1µ¿ ÁöÇÏ1Ãþ Áö-103È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, 1µ¿ ÁöÇÏ1Ãþ Áö-103È£(´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
ÁÖ½ÄÈ¸»ç ½ºÆÄÀÌ´õ½ÇÅ©,¹ýÀÎ,ÇÃ¶ó½ºÆ½ Á¢ÂøÃ³¸® Á¦Ç° Á¦Á¶¾÷,,031-689-3850,031-689-3851,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3 ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ ÁöÇÏ1Ãþ ºñ102È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, ÁöÇÏ1Ãþ ºñ102È£(´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
ÁÖ½ÄÈ¸»ç ½Ã±×´ÏÃ³,¹ýÀÎ,»§·ù Á¦Á¶¾÷,"»§·ù,µðÀúÆ®·ù",02-549-9933,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 473-5 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 92, 2Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ½Å¿ëÁ¤°ø»ç,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇüÅë¹æÀü Èæ¿¬°¡°ø,031-429-8375,031-429-8378,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 59-19¹øÁö,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 36-12 (´çÁ¤µ¿, ½Å¿ëÁ¤°ø»ç)",2025-09-15
ÁÖ½ÄÈ¸»ç ½ÌÅ©ÇÃ·¯½º(905È£),¹ýÀÎ,ÁÖ¹æ¿ë Àü±â±â±â Á¦Á¶¾÷,À½½Ä¹°Ã³¸®±â,070-8878-3494,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 9Ãþ 905È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 9Ãþ 905È£(ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®)",2025-09-15
ÁÖ½ÄÈ¸»ç ½á¹ÔÅØ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,Àü¿ø°ø±ÞÀåÄ¡,031-452-2857,031-452-2858,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 323-1¹øÁö ±ºÆ÷Á¦ÀÏ°ø´Üµ¿ 2Ãþ 202È£,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î75¹ø±æ 23, ±ºÆ÷Á¦ÀÏ°ø´Üµ¿ 2Ãþ 202È£ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾ÆÀÌÅ×Å©,¹ýÀÎ,"À¯ÀÎ Ç×°ø±â, Ç×°ø¿ìÁÖ¼± ¹× º¸Á¶ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾",ÄÄÇ»ÅÍÅ°¿À½ºÅ©,02-410-9637,02-410-9600,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-27 ÄÚ¸®¾Æ¸ðÅÍÆßÇÁ(ÁÖ) 5Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 15-7, 5Ãþ(±ÝÁ¤µ¿, ÄÚ¸®¾Æ¸ðÅÍÆßÇÁ(ÁÖ))",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾Ø¾ÆÀÌÆ¼,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,LEDÅ½Á¶µî,031-449-4989,,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 14-16¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 5Ãþ 506,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 5Ãþ 506 (»êº»µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾Ø¿¡ÇÁ¿¡ÀÌ,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,½ÄÇ° ÀÚµ¿È­ ¼³ºñ,031-470-2733,031-470-2734,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1309È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1309È£ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾Ø¿¡ÇÁ¿¡ÀÌ,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,½ÄÇ° ÀÚµ¿È­ ¼³ºñ,031-470-2733,031-470-2734,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 339-8,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 20 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾ØÀ¯±Û·Î¹ú(±ºÆ÷°øÀå),¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷ ¿Ü 3 Á¾,Àü·Â·®°è,031-698-2354,031-698-2355,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1013,1014,1015È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1013,1014,1015È£(´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¾Ù,¹ýÀÎ,±âÅ¸ ÁÖº¯±â±â Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÁÖº¯±â±â, Àü±âÀÚµ¿Á¦¾î¹Ý",031-456-3221,0504-1778-75,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 196-2 3Ãþ 302È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î214¹ø±æ 6-8, 3Ãþ 302È£(±ÝÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾¿£¿¡ÇÁ,¹ýÀÎ,È­ÀåÇ° Á¦Á¶¾÷,È­ÀåÇ°,031-444-3707,031-444-7306,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 174-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 29 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¾¾ÄÉÀÌ,¹ýÀÎ,ÄÄÇ»ÅÍ ÇÁ¸°ÅÍ Á¦Á¶¾÷,À×Å©Á¬ÇÁ¸°ÅÍ,031-842-2624,031-5176-0624,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö 2Ãþ 216,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 2Ãþ 216 (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Æ¶ó,¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷,"Àü¿ø°ø±ÞÀåÄ¡, ¹èÅÍ¸® ÃæÀü±â",031-425-7021,031-426-1017,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 921-56¹øÁö SK º¥Æ¼¿ò 103µ¿ 502È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 103µ¿ 502È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Æ·ÐÅ×Å©,¹ýÀÎ,±âÅ¸ ±¤ÇÐ±â±â Á¦Á¶¾÷,¿ø°ÝÁ¶Á¾±¤ÇÐÃ¼°è,031-452-0280,031-453-0281,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 104µ¿ 6Ãþ 602È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 6Ãþ 602È£(´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Æ¿Ã½Ã½ºÅÛ,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷ ¿Ü 9 Á¾,"¹èÀü¹Ý, ÀÚµ¿Á¦¾î¹Ý, µ¥ÀÌÅÍÃëµæÀåÄ¡, ¿µ»ó°¨½Ã¹Ý µî",031-451-1807,031-427-1808,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-23 204È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 16-1, 204È£(±ÝÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌ´Ï¾î,¹ýÀÎ,±âÅ¸ °¡°ø °øÀÛ±â°è Á¦Á¶¾÷,"¾È°æ·»Áî °¡°ø±â±â, ¾È°æÅ× ÃøÁ¤±â±â",031-461-1125,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045¹øÁö,°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17 (´çÁ¤µ¿) Bµ¿ 17Ãþ B-1703È£,2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌµð¿¡ÇÁ,¹ýÀÎ,ÀÏ¹Ý¿ë Àü±â Á¶¸íÀåÄ¡ Á¦Á¶¾÷ ¿Ü 2 Á¾,"LEDÁ¶¸í,Á¶¸í,¾ÈÁ¤±â,LEDÄÁ¹öÅÍ",031-451-0993,050-5878-0995,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42¹øÁö 105È£,106È£,212È£,213È£(¿¥Å×Å©³ë´çÁ¤Áö½Ä»ê¾÷¼¾ÅÍ)","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 105È£,106È£,212È£,213È£(¿¥Å×Å©³ë´çÁ¤Áö½Ä»ê¾÷¼¾ÅÍ) (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌ¾¾¿¡ÀÌÄ¡,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,ÇÚµåÆù ¹× IT ±â±â Á¶¸³ ¼ÒÀç ÇÊ¸§ Å×ÀÌÇÁ,070-4187-2061,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 104-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¹ú»õÀü¸®±æ 13 (´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌ¾¾¿¡ÀÌÄ¡,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷ ¿Ü 1 Á¾,MFA ANTENNA,070-4187-2061,031-935-0719,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 104-1,°æ±âµµ ±ºÆ÷½Ã ¹ú»õÀü¸®±æ 15(´çÁ¤µ¿),2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌ¾¾Æ¼¼Ö·ç¼Ç½º,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷ ¿Ü 1 Á¾,"°èÀåÁ¦¾îÀåÄ¡, ÇÁ·Î¼¼½ºÁ¦¾î¹Ý",031-689-5580,070-4015-1183,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 103µ¿ 203È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 103µ¿ 203È£(´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌ¿¥¿¡½º,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,¹«¼±Åë½ÅÀåÄ¡,031-455-2605,031-455-2604,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 104µ¿ 9Ãþ 904È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 9Ãþ 904È£ (´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÀÌÅØÄÚ¸®¾Æ,¹ýÀÎ,±Ý¼Ó Ç¥½ÃÆÇ Á¦Á¶¾÷ ¿Ü 1 Á¾,"°Ç¹°¹øÈ£ÆÇ,±âÃÊ¹øÈ£ÆÇ,µµ·Î¸íÆÇ,±³ÅëÇ¥Áö¾È³»ÆÇ,Â÷·®¿ë ÈÄºÎ¹Ý»çÆÇ",031-454-8166,031-454-8167,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷ 4Ãþ 413È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 4Ãþ 413È£(´çÁ¤µ¿, ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÆÇÏ½ÄÇ° ±ºÆ÷Áö»ç,¹ýÀÎ,¶±·ù Á¦Á¶¾÷,¶±·ù,031-477-7371,031-477-7372,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1-12¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 34-13, 2Ãþ (»êº»µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Ë¿¡ÇÁ¹ÙÀÌ¿À,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,ÀÇ·á¿ë ÇÊ·¯,070-5138-6690,070-8233-5831,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-61 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 10-16, 3Ãþ (±ÝÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Ë¿¡ÇÁÁö,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,À¯ÀüÃ¼ÇÊÅÍ,070-8632-5813,070-8265-5814,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 104µ¿ 407È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 407È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ËÆÄ¿ÉÆ®·Ð,¹ýÀÎ,±âÅ¸ ÆÇÀ¯¸® °¡°øÇ° Á¦Á¶¾÷,±Û¶ó½º ³×ÀÏ »þÀÌ³Ê,031-222-8097,031-222-8098,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-36 ¾ÆÆú·ÎÅ¸¿î °øÀå 401-10È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 14, 401-10È£(»êº»µ¿, ¾ÆÆú·ÎÅ¸¿î °øÀå)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ËÆÄÀ£,¹ýÀÎ,±× ¿Ü ±âÅ¸ Àü±âÀåºñ Á¦Á¶¾÷,(¿ÏÁ¦Ç°)¿ëÁ¢±â,031-429-0700,031-429-0701,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-27¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 26, 2Ãþ (»êº»µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾Ö´Ï¿øÁ¤º¸½Ã½ºÅÛ,¹ýÀÎ,»ç¹«¿ë ±â°è ¹× Àåºñ Á¦Á¶¾÷,"ÀÚµ¿¹ß¸Å±â(±Þ½Ä¼Ò, ÇªµåÄÚÆ®, È¸¿ø°ü¸® ½Ã½ºÅÛ), KIOSK",031-453-9990,031-453-9991,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 104µ¿ 505È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 505È£(´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ÖÇÃ¸®,¹ýÀÎ,"ÇÃ¶ó½ºÆ½ ÀûÃþ, µµÆ÷ ¹× ±âÅ¸ Ç¥¸éÃ³¸® Á¦Ç° Á¦Á¶¾÷",È­Àå¿ë¿ë±âÄÚÆÃ,031-427-6386,031-427-6385,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 327-7¹øÁö 1Ãþ ÀÏºÎ, 2Ãþ","°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø¾È±æ 8, 1Ãþ ÀÏºÎ, 2Ãþ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾ØÅä½º,¹ýÀÎ,±âÅ¸ ÁÖº¯±â±â Á¦Á¶¾÷,"½Ã¹Ä·¹ÀÌÅÍ Å¾ÀçÀåºñ, ÀÔÃâ·Â ÀåÄ¡, Á¡°ËÀåºñ",031-689-4144,031-689-4145,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 2305È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 2305È£ (´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
ÁÖ½ÄÈ¸»ç ¾îµå¹ê½º¼Ö·ç¼Ç,¹ýÀÎ,ÀüÀÚ°¨ÁöÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÀüÀÚ°¨ÁöÀåÄ¡, »ì±ÕÀåÄ¡",070-8887-0625,0504-160-5502,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13 (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
ÁÖ½ÄÈ¸»ç ¿¡µð¸ÞµðÄ®,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,"Àú¿Â ÇÃ¶óÁî¸¶ ¸ê±Õ±â, °ø±â »ì±Õ±â",031-427-2511,031-427-2411,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 174-4 302È£ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 27, 302È£ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
ÁÖ½ÄÈ¸»ç ¿¡¹öÅ×ÀÌ½ºÆ®,¹ýÀÎ,±âÅ¸ ½ÄÇ° Ã·°¡¹° Á¦Á¶¾÷,¼Ò½º·ù.¶±ººÀÌ.¿ÏÁ¦Ç°,,0504-486-9810,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43 ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷ 5Ãþ 503È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 5Ãþ 503È£(´çÁ¤µ¿, ¿¡ÀÌ½º ÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷)",2025-09-15
