회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
천일특수산업,경기도 의왕시 고천동 439-54번지,경기도 의왕시 고천동 439-54번지,그 외 기타 고무제품 제조업,031-297-7328,031-297-7329,5,공업용고무호스류,
청아정 협동조합,"경기도 의왕시 초평로 118, 1층 (초평동)",경기도 의왕시 초평동 402-8번지 1층,편조의복 제조업 외 5 종,,,5,"의류(자켓, 바지, 속옷, 니트 등)","면, 울, 나일론 등"
초록별팩(주),경기도 의왕시 맑은내길 75 (오전동),경기도 의왕시 오전동 150-25,판지 상자 및 용기 제조업,031-360-1254,,30,"골판지 이용 제품 포장 박스 제조(화장품 포장용 상자, 기타 제품 포장용지함)",골판지&인쇄용지
칼렙스,"경기도 의왕시 고산로 74, 705호 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지 성진아파트형공장 705호,접착제 및 젤라틴 제조업,031-457-6940,031-457-6951,1,자외선 경화형 접착제,"우레탄 올리고머, 아크릴모노머"
컴레이저(주),"경기도 의왕시 오전공업길 19, 11층 1105 (오전동, 대현테크노월드)",경기도 의왕시 오전동 176번지 대현테크노월드 11층 1105,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",070-7706-3982,031-457-1209,14,레이저 측정기기,"반도체 레이저, 렌즈"
케이앤에프(주),"경기도 의왕시 오전공업길 19, 502호 (오전동)",경기도 의왕시 오전동 172-4번지,기타 식품 첨가물 제조업,031-427-0438,031-427-0429,6,식품향료,식품향료
케이앤제이엔지니어링(주),경기도 의왕시 고래들길 49 (오전동),경기도 의왕시 오전동 150-44번지,"물질 검사, 측정 및 분석기구 제조업",031-451-7083,031-459-7321,18,Particulate Sampler,Particulate Sampler
케이에스티,경기도 의왕시 아랫새우대길 35-1 (초평동),경기도 의왕시 초평동 427-1,전기회로 접속장치 제조업,031-427-4224,,9,Chiller,"PLC, MC, CP,Cable"
케이엔제이테크놀러지(주),"경기도 의왕시 오전공업길 19, 5층 506 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지,"전자기 측정, 시험 및 분석기구 제조업 외 1 종",031-427-9953,031-427-9958,13,PARTICULATE SAMPLER,펌프
케이투에너지,"경기도 의왕시 오봉산단3로 25, 1123호 (삼동)",경기도 의왕시 삼동 745 1123호,축전지 제조업,031-3880-748,031-3880-749,3,"Li-polymer, Li-ion 전지 Adaptor","Battery Cell, Wire, Connector, PCM"
코디오 주식회사,"경기도 의왕시 오전공업길 19, 10층 1006 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 10층 1006,방송장비 제조업 외 3 종,031-342-1771,031-5176-0607,3,CCTV 카메라 및 방송장치,카메라렌즈
코리아리테일,"경기도 의왕시 오봉산단1로 12, 601호(이동)",경기도 의왕시 이동 732 601호,섬유제품 기타 정리 및 마무리 가공업,,,1,"섬유, 의류","섬유, 부자재"
코맥스,"경기도 의왕시 이미로 40, D동 2층 204 (포일동)",경기도 의왕시 포일동 653번지 D동 2층 204,그 외 기타 전기장비 제조업,031-8084-3611,031-8084-3611,5,"스터드 용접기, 스터드 건","케이블, 환봉 등"
코스모이앤티 주식회사,"경기도 의왕시 오봉산단3로 25, 406호 (삼동)",경기도 의왕시 삼동 745 406호,기체 여과기 제조업,031-8058-0511,031-8058-1970,4,"수소충전소 초정밀 수소가스 여과기, 시료분석설비, 초순수제조설비 등","SUS316 round bar, mesh filter element, tuve fitting, packing box 등"
코스텍,"경기도 의왕시 한밭들1길 11, B동 3층 302 (고천동)",경기도 의왕시 고천동 332-33번지 B동 3층 302,축전지 제조업,031-427-8837,031-427-8817,8,전지팩(Battery pack),"1차전지, 2차전지(충전용)"
코아네트코리아,경기도 의왕시 월암길 68 (월암동),경기도 의왕시 월암동 307-1번지,특수 직물 및 기타 직물 직조업,031-462-1847,,4,"코아네트, 보행매트 외",
쿠도커뮤니케이션(주),"경기도 의왕시 성고개로 53, 4층 401호, 402호 (포일동)","경기도 의왕시 포일동 657-2번지 4층 401호, 402호",방송장비 제조업 외 5 종,02-587-3887,02-587-3886,13,,
쿨사인(주),"경기도 의왕시 한밭들1길 11, A동 3층 301-8 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 3층 301-8,컴퓨터 제조업 외 6 종,02-6295-8055,02-6295-8044,5,"방송장비,셋톱박스, 비디오월 등",PC
큐머시스,경기도 의왕시 의왕군포로 16 (오전동),경기도 의왕시 오전동 131-2번지,"물질 검사, 측정 및 분석기구 제조업 외 1 종",031-453-8555,031-453-8552,10,"프레스 사출 복합성형기, 정밀 시험측정장비","철, 비철금속, 서브모터, 합금강"
큐브코리아,"경기도 의왕시 경수대로 257, 304호(고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2 대영골든밸리 304호,그 외 기타 달리 분류되지 않은 제품 제조업,031-451-8245,031-451-8246,5,리튬인산철 배터리,"셀, BMS, 케이스, 부스바"
태경이엔씨(주),경기도 의왕시 고산로 33 (고천동),경기도 의왕시 고천동 332-12번지,교통 신호장치 제조업 외 2 종,031-424-8100,031-456-4771,9,교통신호기,
태양문화,"경기도 의왕시 부곡중앙남6길 90, 이윤상가 1층 101호 (삼동)",경기도 의왕시 삼동 563-3번지,경 인쇄업 외 1 종,031-462-4688,031-462-4788,5,복사 및 인쇄물,
태양문화,"경기도 의왕시 오봉산단3로 25, 203호 (삼동)",경기도 의왕시 삼동 745 203호,경 인쇄업,031-462-4688,031-462-4788,0,인쇄업,종이
태평양금속공업(주),"경기도 의왕시 옻우물길 30 (오전동, 태평양금속공업(주))",경기도 의왕시 오전동 208번지,"알루미늄 압연, 압출 및 연신제품 제조업",031-451-1637,031-453-6427,8,병마개,
토비안시스템즈 주식회사,경기도 의왕시 오봉산단3로 25 (삼동) 724호,경기도 의왕시 삼동 745-0,컴퓨터 모니터 제조업,070-8808-1026,,1,산업용 모니터,"LCD Moule, AD Board, LED Driver, chassis"
티앤씨일렉트로닉스,"경기도 의왕시 오전공업길 19, 5층 1호 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 5층 1호,차류 가공업,031-457-1240,031-457-1241,9,차류,
티에스이(TSE),"경기도 의왕시 오봉산단1로 12, 406호(이동)",경기도 의왕시 이동 732 406호,배전반 및 전기 자동제어반 제조업,,,0,배전반 및 전기 자동제어반,"회로자재, 케이블선, pcb 등"
티엔시,"경기도 의왕시 철도박물관로 18-11 (삼동, TNC)",경기도 의왕시 삼동 436-31번지,남자용 겉옷 제조업 외 3 종,031-461-7661,031-461-5661,25,남자정장,
티엔엑스전자,"경기도 의왕시 오전공업길 19, 11층 1108 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 11층 1108,축전지 제조업,070-8708-8972,070-8708-8973,2,배터리팩,
파인텍,"경기도 의왕시 오전공업길 22, 1층 103 (오전동, 동영벤처스텔)",경기도 의왕시 오전동 172번지,주형 및 금형 제조업,031-427-2855,031-429-2855,5,"프레스/핀/단조금형, 로봇부품, 자동화 설비","STEEL류(특수강,알루미늄)"
퍼시픽로얄,"경기도 의왕시 오봉산단3로 25, 15층 15호(삼동)",경기도 의왕시 삼동 745 15층 15호,표면광택제 및 실내가향제 제조업,031-454-8753,,1,방향제,"디퓨저 베이스, 향 오일"
퍼즐리아,"경기도 의왕시 이미로 40, D동 114호, 115호(포일동, 인덕원IT밸리)","경기도 의왕시 포일동 653 인덕원IT밸리 D동 114호, 115호",인형 및 장난감 제조업,02-3679-1470,02-6008-4072,5,"점보구술퍼즐, 특허받은 칠교놀이, 구슬퍼즐 외","abs, 종이"
푸르메다,"경기도 의왕시 이미로 40, A동 6층 613호 (포일동)",경기도 의왕시 포일동 653번지 A동 6층 613호,차류 가공업,031-282-8977,031-281-8977,4,다류,"녹차, 홍차, 귤꽃 등"
프랜드쉽전자 주식회사,"경기도 의왕시 이미로 40, A동 211호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 A동 211호,전기회로 접속장치 제조업,031-422-3820,031-8084-3821,4,직류배전공급장치,"Charging Module, Panel"
프로아전자,"경기도 의왕시 맑은내길 94, 4층 (오전동)",경기도 의왕시 오전동 188번지,그 외 기타 전기장비 제조업,070-7538-8323,031-429-7297,5,"전기제품, PCB 조립제품","콘덴사, 기타 전자 부품"
피엔케이엔지니어링(주),"경기도 의왕시 이미로 40, B동 7층 712호 (포일동)",경기도 의왕시 포일동 653번지 B동 7층 712호,공기 조화장치 제조업,031-479-4742,031-479-4743,8,공기조화장치(공기조절장치 및 공기조절기 제조),"철판, 동관, 우레탄판넬"
필스전자(주),"경기도 의왕시 사천2길 16, 필스빌딩 (왕곡동)",경기도 의왕시 왕곡동 597-8 번지 필스빌딩,기타 음향기기 제조업,031-453-0310,031-453-0323,24,이어폰,
필스전자(주),경기도 의왕시 교동길 59-8 (이동),경기도 의왕시 이동 541번지,기타 음향기기 제조업,031-453-0310,0303-3442-0331,23,"이어폰, 헤드폰",부품
하나메카(주),"경기도 의왕시 오전공업길 19, 8층 807 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 8층 807,반도체 제조용 기계 제조업,031-427-1466,031-427-1467,6,"반도체장비, 자동화장비",필요 부품
하나푸드,경기도 의왕시 고천공업로 52 (고천동),경기도 의왕시 고천동 332-68번지,빵류 제조업,031-459-9301,031-459-9303,66,"빵류, 과자류","밀가루, 버터"
하남PTC,경기도 의왕시 맑은내길 78-13 (오전동) (총 3 필지) 외 2필지,경기도 의왕시 오전동 184-7번지,금속 절삭기계 제조업,02-851-6181,031-458-4705,12,시험사출,
하임,"경기도 의왕시 오봉산단3로 25, 1동 1215호 (삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1215호,그 외 기타 전자부품 제조업,070-4267-8238,,2,유선통신모듈,"MCU  등 전자부품, PCB"
한국도시건설(주),"경기도 의왕시 오봉산단3로 25, 1동 10층 1028호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 10층 1028호,기타 구조용 금속제품 제조업,031-462-1229,031-462-229,6,철구조물,"압연강판, 레일"
한국소사시스템즈(주),"경기도 의왕시 오봉산단3로 25, 1214호 (삼동)",경기도 의왕시 삼동 745 1214호,일반용 전기 조명장치 제조업,031-462-2296,031-462-2297,3,"LED보안등기구, CCTV","LED보안등, IP카메라"
한국야마리(주),"경기도 의왕시 오전공업길 13, 12층 1206호,1207호 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 192-3번지,"물질 검사, 측정 및 분석기구 제조업",031-427-4896,031-427-3516,10,산업용온도계,시스
한국코카콜라 유한회사,경기도 의왕시 고천공업로 5 (고천동),경기도 의왕시 고천동 289-4번지,기타 식품 첨가물 제조업,031-596-5912,031-455-3243,39,"콜라,환타,킨사이다,다류","카라멜,식향료,구연산"
한국프레틀(주),"경기도 의왕시 한밭들1길 20 (고천동, 성일컴퓨텍)",경기도 의왕시 고천동 332-38번지,그 외 자동차용 신품 부품 제조업 외 3 종,031-427-7740,031-427-7781,145,자동차전장제품,
한세프리시젼(주),"경기도 의왕시 한밭들2길 14 (고천동, 최신산업)",경기도 의왕시 고천동 332-52번지,기기용 자동측정 및 제어장치 제조업,031-477-6400,031-477-6404,6,정밀 측정 기기,정및 측정 센서(LVDT) 및 신호처리기
한양기계(주),"경기도 의왕시 청백리로 27 (고천동, 한양기계주식회사)",경기도 의왕시 고천동 246-1번지,펄프 및 종이 가공용 기계 제조업,031-456-7981,031-456-1377,54,"캇타,리와인더,샥숀로라","철판,환봉,파이프"
한양기계(주),경기도 의왕시 오봉산단3로 30 (삼동),경기도 의왕시 삼동 409번지,펄프 및 종이 가공용 기계 제조업,031-456-7981,031-456-1377,31,"캇타,샥숀로라,리와인더","철강재, 모터"
한일중량,"경기도 의왕시 이미로 40, D동 B1층 B109 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 B109,배전반 및 전기 자동제어반 제조업,031-423-5588,031-425-5522,4,배전반,"still panel, 전선, 전기부자재"
한진화학(주),"경기도 의왕시 고천공업로 28 (고천동, 한진화학공업(주))",경기도 의왕시 고천동 338번지,일반용 도료 및 관련제품 제조업,031-428-2800,031-864-3031,151,"유성페인트,수지,핸드폰용 도료, UV도료","푸탈산,산화치파늄"
해온,경기도 의왕시 왕곡로 198 (왕곡동) 1층,경기도 의왕시 왕곡동 19-5 1층,기타 직물제품 제조업,031-360-1236,031-360-1238,14,보건용마스크,부직포
해인향료,"경기도 의왕시 오전공업길 19, 대현테크노월드아파트형공장 (오전동)",경기도 의왕시 오전동 172-4번지,기타 식품 첨가물 제조업,031-452-2141,031-452-2144,5,식품첨가물,
현대로템(주),"경기도 의왕시 철도박물관로 37 (삼동, (주)로템)",경기도 의왕시 삼동 462-18번지,액체 펌프 제조업 외 3 종,031-8090-8058,031-596-9775,869,"철도차량,객차,자동제어및신호장치",철재류
현대씨즈올(주),"경기도 의왕시 철도박물관로 37, 외 8필지 (삼동)",경기도 의왕시 삼동 462-18번지 외 8필지,내연기관 제조업,070-8620-8066,070-8244-8555,29,선박용엔진,
현대오토에버(주),"경기도 의왕시 철도박물관로 37, 38동 (삼동)",경기도 의왕시 삼동 462-18번지 38동,유선 통신장비 제조업 외 1 종,02-6296-4009,02-3474-3447,4,유선통신장비,
현암전자,"경기도 의왕시 한밭들1길 11, B동 3층 306-2 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 B동 3층 306-2,기타 전기 변환장치 제조업 외 1 종,031-455-7709,031-477-5538,3,SMPS(전원공급장치),
현테크,"경기도 의왕시 오봉산단3로 25, 3층 2호(삼동)",경기도 의왕시 삼동 745 3층 2호,기타 무선 통신장비 제조업,,031-457-3083,2,통신부품,"동, 테프론"
홍진기연,"경기도 의왕시 한밭들1길 8 (고천동, 홍진기연)",경기도 의왕시 고천동 332-43번지,비디오 및 기타 영상기기 제조업 외 1 종,031-457-7532,031-456-7555,16,오디오부품,
화성에너셀,"경기도 의왕시 오봉산단3로 25, 1동 1325호 (삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1325호,일차전지 제조업,031-429-4885,,1,일차전지,carbon fluoride
화신냉기씨스템,경기도 의왕시 초평로 160-3 (초평동),경기도 의왕시 초평동 325-6번지,기기용 자동측정 및 제어장치 제조업,031-451-1666,031-453-0666,6,열량계 외,
휘온정보통신 주식회사,"경기도 의왕시 오전공업길 13, 에이동 11층 1107호(오전동)",경기도 의왕시 오전동 196-5 에이동 11층 1107호,유선 통신장비 제조업 외 1 종,031-427-6707,031-427-6707,9,"유선통신장비, 무선 통신장비 부품 등","케이블, 컨넥터, 어댑터, 카본 반사판, 레이돔"
